Locus	Gene	Start	Length	Product	Allele Count	File
KP1_RS20395		4191469	408	transcriptional regulator	231	KP1_RS20395.fasta
KP1_RS20405		4192881	1203	MFS transporter	1065	KP1_RS20405.fasta
KP1_RS20415		4194510	993	RNA polymerase sigma factor	569	KP1_RS20415.fasta
KP1_RS20420	nlpD	4195660	1131	lipoprotein NlpD	614	KP1_RS20420.fasta
KP1_RS20435		4198278	1050	tRNA pseudouridine(13) synthase TruD	751	KP1_RS20435.fasta
KP1_RS20440		4199324	480	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	273	KP1_RS20440.fasta
KP1_RS20445		4199803	711	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	478	KP1_RS20445.fasta
KP1_RS20450		4200533	318	cell division protein FtsB	123	KP1_RS20450.fasta
KP1_RS20455		4200991	327	membrane protein	196	KP1_RS20455.fasta
KP1_RS20460		4201368	606	adenylyl-sulfate kinase	373	KP1_RS20460.fasta
KP1_RS20465		4201973	1428	sulfate adenylyltransferase	1073	KP1_RS20465.fasta
KP1_RS20470		4203410	909	sulfate adenylyltransferase subunit 2	633	KP1_RS20470.fasta
KP1_RS20475		4204328	1416	siroheme synthase	1124	KP1_RS20475.fasta
KP1_RS20485		4207101	735	phosphoadenosine phosphosulfate reductase	575	KP1_RS20485.fasta
KP1_RS20490		4207934	1713	sulfite reductase subunit beta	1064	KP1_RS20490.fasta
KP1_RS20505		4211765	363	6-carboxytetrahydropterin synthase QueD	272	KP1_RS20505.fasta
KP1_RS20510		4212168	672	7-carboxy-7-deazaguanine synthase QueE	473	KP1_RS20510.fasta
KP1_RS20525		4214489	1299	enolase	769	KP1_RS20525.fasta
KP1_RS20530		4215869	1638	CTP synthetase	845	KP1_RS20530.fasta
KP1_RS20540		4218690	2238	GTP diphosphokinase	1185	KP1_RS20540.fasta
KP1_RS20545	rumA	4221049	1305	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	1018	KP1_RS20545.fasta
KP1_RS20550		4222467	2751	hybrid sensor histidine kinase/response regulator	1995	KP1_RS20550.fasta
KP1_RS20555		4225375	1140	glycerate kinase	802	KP1_RS20555.fasta
KP1_RS20560		4226587	1341	glucarate dehydratase	897	KP1_RS20560.fasta
KP1_RS20565		4227945	1341	glucarate dehydratase	1040	KP1_RS20565.fasta
KP1_RS20580		4231560	795	tRNA pseudouridine(65) synthase TruC	541	KP1_RS20580.fasta
KP1_RS20585		4232354	330	hypothetical protein	211	KP1_RS20585.fasta
KP1_RS20590		4233315	546	protein Syd	365	KP1_RS20590.fasta
KP1_RS20595		4233929	846	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	610	KP1_RS20595.fasta
KP1_RS20600		4234886	1368	LOG family protein	661	KP1_RS20600.fasta
KP1_RS20605		4236763	1290	serine transporter	985	KP1_RS20605.fasta
KP1_RS20610		4238118	1368	L-serine ammonia-lyase	835	KP1_RS20610.fasta
KP1_RS20675		4253271	1149	lactaldehyde reductase	1087	KP1_RS20675.fasta
KP1_RS20680		4254447	648	fuculose phosphate aldolase	474	KP1_RS20680.fasta
KP1_RS20690		4255661	1311	MFS transporter	1072	KP1_RS20690.fasta
KP1_RS20695		4257004	1776	L-fucose isomerase	1296	KP1_RS20695.fasta
KP1_RS20705		4260307	423	L-fucose mutarotase	339	KP1_RS20705.fasta
KP1_RS20710		4260788	711	transcriptional regulator	437	KP1_RS20710.fasta
KP1_RS20715		4261547	1101	23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM	766	KP1_RS20715.fasta
KP1_RS20725		4263055	918	transcriptional regulator GcvA	432	KP1_RS20725.fasta
KP1_RS20730		4264324	225	hypothetical protein	100	KP1_RS20730.fasta
KP1_RS20740		4265951	432	"cysteine desulfurase, sulfur acceptor subunit CsdE"	240	KP1_RS20740.fasta
KP1_RS20750		4267334	1098	murein transglycosylase A	732	KP1_RS20750.fasta
KP1_RS20975		4303669	903	GHMP kinase	677	KP1_RS20975.fasta
KP1_RS20980		4304575	1077	threonine-phosphate decarboxylase	928	KP1_RS20980.fasta
KP1_RS20985	amiC	4305669	1254	N-acetylmuramoyl-L-alanine amidase	895	KP1_RS20985.fasta
KP1_RS20990		4307150	1332	amino-acid N-acetyltransferase	731	KP1_RS20990.fasta
KP1_RS21010		4314463	2886	pitrilysin	1575	KP1_RS21010.fasta
KP1_RS21025		4321167	408	hypothetical protein	339	KP1_RS21025.fasta
KP1_RS21035		4322125	552	hypothetical protein	582	KP1_RS21035.fasta
KP1_RS21040		4322863	795	thymidylate synthase	629	KP1_RS21040.fasta
KP1_RS21045		4323664	876	prolipoprotein diacylglyceryl transferase	557	KP1_RS21045.fasta
KP1_RS21050		4324785	2247	phosphoenolpyruvate--protein phosphotransferase PtsP	1196	KP1_RS21050.fasta
KP1_RS21055		4327044	531	RNA pyrophosphohydrolase	177	KP1_RS21055.fasta
KP1_RS21065		4328257	696	DNA mismatch repair protein MutH	558	KP1_RS21065.fasta
KP1_RS21090		4332621	2160	bifunctional 2-acylglycerophosphoethanolamine acyltransferase/acyl-ACP synthetase	1435	KP1_RS21090.fasta
KP1_RS21100		4335402	1017	transcriptional regulator GalR	770	KP1_RS21100.fasta
KP1_RS21110		4336855	774	transcriptional regulator	509	KP1_RS21110.fasta
KP1_RS21115		4337696	1428	beta-glucosidase	1069	KP1_RS21115.fasta
KP1_RS21120		4339131	1338	PTS lactose transporter subunit IIC	960	KP1_RS21120.fasta
KP1_RS21130		4341762	1263	diaminopimelate decarboxylase	1019	KP1_RS21130.fasta
KP1_RS21135		4343161	927	LysR family transcriptional regulator	718	KP1_RS21135.fasta
KP1_RS21145		4344906	327	cupin	273	KP1_RS21145.fasta
KP1_RS21155		4346567	903	sugar ABC transporter permease	552	KP1_RS21155.fasta
KP1_RS21165		4348626	1287	sugar ABC transporter substrate-binding protein	823	KP1_RS21165.fasta
KP1_RS21325	fimA	4380607	549	type-1 fimbrial protein subunit A	373	KP1_RS21325.fasta
KP1_RS21330		4381226	537	fimbrin fimI	427	KP1_RS21330.fasta
KP1_RS21340		4382598	2613	outer membrane usher protein	1662	KP1_RS21340.fasta
KP1_RS21350		4385761	501	fimbrial protein FimG	352	KP1_RS21350.fasta
KP1_RS21355		4386279	906	fimbrial protein	1255	KP1_RS21355.fasta
KP1_RS21365		4388636	273	hypothetical protein	145	KP1_RS21365.fasta
KP1_RS21370		4388920	231	hypothetical protein	133	KP1_RS21370.fasta
KP1_RS21375		4389356	273	hypothetical protein	158	KP1_RS21375.fasta
KP1_RS21380		4389635	1026	multidrug transporter subunit MdtN	678	KP1_RS21380.fasta
KP1_RS21390		4392607	1449	multidrug resistance transporter	1196	KP1_RS21390.fasta
KP1_RS21405		4396830	423	arsenate reductase (glutaredoxin)	422	KP1_RS21405.fasta
KP1_RS21415		4398606	330	transcriptional regulator	316	KP1_RS21415.fasta
KP1_RS21485		4408451	555	isopentenyl-diphosphate Delta-isomerase	395	KP1_RS21485.fasta
KP1_RS21495		4410767	882	peptide chain release factor 2	622	KP1_RS21495.fasta
KP1_RS21505		4413690	714	thiol:disulfide interchange protein DsbC	588	KP1_RS21505.fasta
KP1_RS21510		4414426	897	site-specific tyrosine recombinase XerD	486	KP1_RS21510.fasta
KP1_RS21515		4415423	522	flavodoxin FldB	316	KP1_RS21515.fasta
KP1_RS21520		4415951	411	membrane protein	254	KP1_RS21520.fasta
KP1_RS21535		4417936	660	hemolysin III family protein	531	KP1_RS21535.fasta
KP1_RS21545		4419120	729	transcriptional regulator	493	KP1_RS21545.fasta
KP1_RS21550		4419967	1434	6-phospho-beta-glucosidase	1130	KP1_RS21550.fasta
KP1_RS21555		4421525	360	copper resistance protein	319	KP1_RS21555.fasta
KP1_RS21565		4423945	612	DSBA oxidoreductase	695	KP1_RS21565.fasta
KP1_RS21575		4425170	744	NAD(P)-dependent oxidoreductase	805	KP1_RS21575.fasta
KP1_RS21580		4425976	2874	glycine dehydrogenase (aminomethyl-transferring)	1658	KP1_RS21580.fasta
KP1_RS21585		4429056	390	glycine cleavage system protein H	351	KP1_RS21585.fasta
KP1_RS21590	gcvT	4429470	1095	glycine cleavage system protein T	863	KP1_RS21590.fasta
KP1_RS21605		4433375	1317	Xaa-Pro aminopeptidase	830	KP1_RS21605.fasta
KP1_RS21615		4435460	330	cell division protein ZapA	129	KP1_RS21615.fasta
KP1_RS21665		4442761	1080	class II fructose-bisphosphate aldolase	723	KP1_RS21665.fasta
KP1_RS21670		4443938	1164	phosphoglycerate kinase	650	KP1_RS21670.fasta
KP1_RS21685		4448823	759	metalloprotease	504	KP1_RS21685.fasta
KP1_RS21695		4450042	921	agmatinase	669	KP1_RS21695.fasta
KP1_RS21700		4451196	1977	arginine decarboxylase	1056	KP1_RS21700.fasta
KP1_RS21705		4453696	171	hypothetical protein	91	KP1_RS21705.fasta
KP1_RS21710		4454014	1155	S-adenosylmethionine synthase	742	KP1_RS21710.fasta
KP1_RS21715		4455553	1395	MFS transporter	853	KP1_RS21715.fasta
KP1_RS21720		4457025	501	SprT family protein	317	KP1_RS21720.fasta
KP1_RS21725		4457620	708	deoxyribonuclease I	403	KP1_RS21725.fasta
KP1_RS21730		4458419	732	16S rRNA (uracil(1498)-N(3))-methyltransferase	400	KP1_RS21730.fasta
KP1_RS21740		4460296	564	hypothetical protein	297	KP1_RS21740.fasta
KP1_RS21745		4460859	417	crossover junction endodeoxyribonuclease RuvA	234	KP1_RS21745.fasta
KP1_RS21750		4461328	654	transcriptional regulator CsgD	545	KP1_RS21750.fasta
KP1_RS21765		4463327	702	YggS family pyridoxal phosphate enzyme	394	KP1_RS21765.fasta
KP1_RS21770		4464049	567	hypothetical protein	361	KP1_RS21770.fasta
KP1_RS21775		4464612	291	YggU family protein	208	KP1_RS21775.fasta
KP1_RS21785		4465501	1140	YggW family oxidoreductase	858	KP1_RS21785.fasta
KP1_RS21805		4470147	720	hypothetical protein	713	KP1_RS21805.fasta
KP1_RS21810		4470917	327	hypothetical protein	171	KP1_RS21810.fasta
KP1_RS21815		4471243	720	tRNA (guanosine(46)-N7)-methyltransferase TrmB	451	KP1_RS21815.fasta
KP1_RS21820		4472099	1059	A/G-specific adenine glycosylase	827	KP1_RS21820.fasta
KP1_RS21825		4473186	276	Fe(2+)-trafficking protein	176	KP1_RS21825.fasta
KP1_RS21830		4473508	1086	lytic murein transglycosylase	657	KP1_RS21830.fasta
KP1_RS21840		4476082	2139	ornithine decarboxylase	1253	KP1_RS21840.fasta
KP1_RS21845		4478640	714	membrane protein	468	KP1_RS21845.fasta
KP1_RS21915		4491472	123	hypothetical protein	48	KP1_RS21915.fasta
KP1_RS21920		4491615	561	hypothetical protein	374	KP1_RS21920.fasta
KP1_RS21935		4493528	888	dienelactone hydrolase	866	KP1_RS21935.fasta
KP1_RS21955		4498298	426	biopolymer transport protein ExbD	256	KP1_RS21955.fasta
KP1_RS21960		4498730	732	biopolymer transporter ExbB	458	KP1_RS21960.fasta
KP1_RS21975		4501031	660	membrane protein	283	KP1_RS21975.fasta
KP1_RS21985		4502836	1164	NADH-dependent alcohol dehydrogenase	813	KP1_RS21985.fasta
KP1_RS21990		4504145	828	"2,5-diketo-D-gluconate reductase A"	484	KP1_RS21990.fasta
KP1_RS22005		4507900	1413	cell division protein FtsP	830	KP1_RS22005.fasta
KP1_RS22010		4509396	738	1-acyl-sn-glycerol-3-phosphate acyltransferase	362	KP1_RS22010.fasta
KP1_RS22015		4510325	2259	DNA topoisomerase IV subunit A	1165	KP1_RS22015.fasta
KP1_RS22020		4512705	870	AraC family transcriptional regulator	613	KP1_RS22020.fasta
KP1_RS22030		4514198	660	two-component system response regulator QseB	470	KP1_RS22030.fasta
KP1_RS22045		4516972	315	quinol monooxygenase	250	KP1_RS22045.fasta
KP1_RS22050		4517360	1896	DNA topoisomerase IV subunit B	1125	KP1_RS22050.fasta
KP1_RS22055		4519286	576	esterase YqiA	394	KP1_RS22055.fasta
KP1_RS22060		4519861	828	phosphodiesterase	401	KP1_RS22060.fasta
KP1_RS22065		4520713	423	hypothetical protein	151	KP1_RS22065.fasta
KP1_RS22070		4521132	633	ADP-ribose diphosphatase	287	KP1_RS22070.fasta
KP1_RS22080		4523598	672	membrane protein	401	KP1_RS22080.fasta
KP1_RS22085		4524275	1161	hypothetical protein	773	KP1_RS22085.fasta
KP1_RS22090		4525480	792	dioxygenase	617	KP1_RS22090.fasta
KP1_RS22095		4526458	771	zinc transporter ZupT	612	KP1_RS22095.fasta
KP1_RS22100		4527290	654	"3,4-dihydroxy-2-butanone-4-phosphate synthase"	465	KP1_RS22100.fasta
KP1_RS22105		4528321	273	hypothetical protein	156	KP1_RS22105.fasta
KP1_RS22110		4528629	198	glycogen synthase	119	KP1_RS22110.fasta
KP1_RS22120		4529045	1434	bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	912	KP1_RS22120.fasta
KP1_RS22125		4530537	2838	glutamine-synthetase adenylyltransferase	1526	KP1_RS22125.fasta
KP1_RS22135		4534908	621	hypothetical protein	307	KP1_RS22135.fasta
KP1_RS22140		4535590	1242	multifunctional CCA tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase	867	KP1_RS22140.fasta
KP1_RS22145		4536843	822	undecaprenyl-diphosphatase	342	KP1_RS22145.fasta
KP1_RS22150		4537863	384	dihydroneopterin aldolase	167	KP1_RS22150.fasta
KP1_RS22155		4538354	618	glycerol-3-phosphate acyltransferase	347	KP1_RS22155.fasta
KP1_RS22175		4540203	303	urease subunit gamma	186	KP1_RS22175.fasta
KP1_RS22190		4542541	477	urease accessory protein	321	KP1_RS22190.fasta
KP1_RS22200		4543702	618	urease accessory protein UreG	348	KP1_RS22200.fasta
KP1_RS22205		4544473	1608	allantoin permease	1122	KP1_RS22205.fasta
KP1_RS22210		4546125	1014	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	590	KP1_RS22210.fasta
KP1_RS22215		4547376	216	30S ribosomal protein S21	69	KP1_RS22215.fasta
KP1_RS22220		4547703	1746	DNA primase	756	KP1_RS22220.fasta
KP1_RS22225		4549667	1842	RNA polymerase sigma factor RpoD	1067	KP1_RS22225.fasta
KP1_RS22230		4551608	507	mismatch-specific DNA-glycosylase	425	KP1_RS22230.fasta
KP1_RS22355		4576728	774	siderophore-interacting protein	587	KP1_RS22355.fasta
KP1_RS22365		4577741	555	PadR family transcriptional regulator	430	KP1_RS22365.fasta
KP1_RS22370		4578553	1380	putrescine aminotransferase	1067	KP1_RS22370.fasta
KP1_RS22375		4579979	297	autoinducer 2-degrading protein LsrG	267	KP1_RS22375.fasta
KP1_RS22380		4580272	888	aldolase	796	KP1_RS22380.fasta
KP1_RS22390		4582174	999	histidine kinase	825	KP1_RS22390.fasta
KP1_RS22395		4583173	1035	autoinducer 2 ABC transporter permease LsrC	1103	KP1_RS22395.fasta
KP1_RS22400		4584204	1488	autoinducer 2 ABC transporter ATP-binding protein LsrA	1322	KP1_RS22400.fasta
KP1_RS22405		4585910	972	transcriptional regulator	960	KP1_RS22405.fasta
KP1_RS22440		4593994	990	oxidoreductase	745	KP1_RS22440.fasta
KP1_RS22445		4595255	972	membrane protein	641	KP1_RS22445.fasta
KP1_RS22450		4596493	1248	serine/threonine transporter SstT	758	KP1_RS22450.fasta
KP1_RS22455		4597756	555	membrane protein	421	KP1_RS22455.fasta
KP1_RS22460		4598440	1488	altronate hydrolase	895	KP1_RS22460.fasta
KP1_RS22465		4599946	1413	uronate isomerase	915	KP1_RS22465.fasta
KP1_RS22470		4601839	1302	MFS transporter	951	KP1_RS22470.fasta
KP1_RS22475		4603268	777	GntR family transcriptional regulator	535	KP1_RS22475.fasta
KP1_RS22480		4604385	663	membrane protein	345	KP1_RS22480.fasta
KP1_RS22485		4605050	384	membrane protein	259	KP1_RS22485.fasta
KP1_RS22490		4605583	369	hypothetical protein	194	KP1_RS22490.fasta
KP1_RS22495		4605997	306	membrane protein	145	KP1_RS22495.fasta
KP1_RS22500		4606305	399	membrane protein	247	KP1_RS22500.fasta
KP1_RS22510		4607342	393	membrane protein	238	KP1_RS22510.fasta
KP1_RS22520		4608928	369	DUF805 domain-containing protein	163	KP1_RS22520.fasta
KP1_RS22525		4609338	897	LysR family transcriptional regulator	586	KP1_RS22525.fasta
KP1_RS22530		4610339	702	hypothetical protein	416	KP1_RS22530.fasta
KP1_RS22560		4614573	891	2-hydroxy-3-oxopropionate reductase	560	KP1_RS22560.fasta
KP1_RS22565		4615490	771	5-keto-4-deoxy-D-glucarate aldolase	555	KP1_RS22565.fasta
KP1_RS22655		4632429	864	rRNA (cytidine-2'-O-)-methyltransferase	669	KP1_RS22655.fasta
KP1_RS22660		4633356	2109	penicillin-binding protein activator	1318	KP1_RS22660.fasta
KP1_RS22670		4635834	591	DnaA initiator-associating protein DiaA	220	KP1_RS22670.fasta
KP1_RS22675		4636434	576	osmotically-inducible protein OsmY	323	KP1_RS22675.fasta
KP1_RS22680		4637131	1041	membrane protein	829	KP1_RS22680.fasta
KP1_RS22690		4639023	537	glutamine amidotransferase	328	KP1_RS22690.fasta
KP1_RS22710		4640788	525	SCP2 domain-containing protein	277	KP1_RS22710.fasta
KP1_RS22715		4641534	996	protease	629	KP1_RS22715.fasta
KP1_RS22720		4642535	879	U32 family peptidase	631	KP1_RS22720.fasta
KP1_RS22725		4643557	1008	hypothetical protein	807	KP1_RS22725.fasta
KP1_RS22730		4644609	1245	tryptophan permease	999	KP1_RS22730.fasta
KP1_RS22740		4648107	885	lipoprotein NlpI	419	KP1_RS22740.fasta
KP1_RS22745		4649101	2136	polyribonucleotide nucleotidyltransferase	1199	KP1_RS22745.fasta
KP1_RS22755		4651479	270	30S ribosomal protein S15	122	KP1_RS22755.fasta
KP1_RS22760		4651897	945	tRNA pseudouridine(55) synthase TruB	632	KP1_RS22760.fasta
KP1_RS22765		4652841	402	ribosome-binding factor A	210	KP1_RS22765.fasta
KP1_RS22775	nusA	4656060	1488	transcription termination protein NusA	539	KP1_RS22775.fasta
KP1_RS22780		4657575	453	ribosome maturation factor	127	KP1_RS22780.fasta
KP1_RS22795		4658620	1344	argininosuccinate synthase	642	KP1_RS22795.fasta
KP1_RS22825		4662897	1338	phosphoglucosamine mutase	784	KP1_RS22825.fasta
KP1_RS22835	hflB	4665169	1935	ATP-dependent metalloprotease	1032	KP1_RS22835.fasta
KP1_RS22840		4667203	630	ribosomal RNA large subunit methyltransferase E	253	KP1_RS22840.fasta
KP1_RS22845		4667956	294	RNA-binding protein	125	KP1_RS22845.fasta
KP1_RS22850		4668402	477	transcription elongation factor GreA	177	KP1_RS22850.fasta
KP1_RS22855		4669114	1434	serine-type D-Ala-D-Ala carboxypeptidase	923	KP1_RS22855.fasta
KP1_RS22865		4671793	966	membrane protein	552	KP1_RS22865.fasta
KP1_RS22870		4672852	258	50S ribosomal protein L27	86	KP1_RS22870.fasta
KP1_RS22875		4673130	312	50S ribosomal protein L21	98	KP1_RS22875.fasta
KP1_RS22880		4673702	972	octaprenyl diphosphate synthase	455	KP1_RS22880.fasta
KP1_RS22885		4674871	273	transcriptional regulator	143	KP1_RS22885.fasta
KP1_RS22890		4675199	1260	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	621	KP1_RS22890.fasta
KP1_RS22895		4676512	255	hypothetical protein	125	KP1_RS22895.fasta
KP1_RS22905		4677193	636	phospholipid-binding protein MlaC	299	KP1_RS22905.fasta
KP1_RS22910		4677847	552	outer membrane lipid asymmetry maintenance protein MlaD	236	KP1_RS22910.fasta
KP1_RS22915		4678403	783	ABC transporter permease	328	KP1_RS22915.fasta
KP1_RS22920		4679193	813	organic solvent ABC transporter ATP-binding protein	348	KP1_RS22920.fasta
KP1_RS22925		4680215	978	calcium/sodium antiporter	516	KP1_RS22925.fasta
KP1_RS22930		4681207	987	D-arabinose 5-phosphate isomerase	494	KP1_RS22930.fasta
KP1_RS22935		4682208	567	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	294	KP1_RS22935.fasta
KP1_RS22940		4682771	576	LPS export ABC transporter periplasmic protein LptC	196	KP1_RS22940.fasta
KP1_RS22950		4683867	726	ABC transporter ATP-binding protein	314	KP1_RS22950.fasta
KP1_RS22955		4684640	1434	RNA polymerase sigma-54 factor	631	KP1_RS22955.fasta
KP1_RS22960		4686096	288	ribosome hibernation promoting factor HPF	95	KP1_RS22960.fasta
KP1_RS22965		4686454	489	PTS sugar transporter subunit IIA	212	KP1_RS22965.fasta
KP1_RS22970		4686988	855	RNase adaptor protein RapZ	421	KP1_RS22970.fasta
KP1_RS22975		4687839	273	phosphohistidinoprotein-hexose phosphotransferase	119	KP1_RS22975.fasta
KP1_RS22980		4688175	726	monofunctional biosynthetic peptidoglycan transglycosylase	622	KP1_RS22980.fasta
KP1_RS22985		4688897	654	glutamine amidotransferase	491	KP1_RS22985.fasta
KP1_RS22990		4689784	2340	hybrid sensor histidine kinase/response regulator	1287	KP1_RS22990.fasta
KP1_RS23020		4697674	4461	glutamate synthase large subunit	1788	KP1_RS23020.fasta
KP1_RS23025		4702144	1419	glutamate synthase subunit beta	858	KP1_RS23025.fasta
KP1_RS23035		4704446	495	stringent starvation protein B	320	KP1_RS23035.fasta
KP1_RS23040	sspA	4704944	639	stringent starvation protein A	240	KP1_RS23040.fasta
KP1_RS23045		4705894	393	30S ribosomal protein S9	169	KP1_RS23045.fasta
KP1_RS23050		4706302	429	50S ribosomal protein L13	147	KP1_RS23050.fasta
KP1_RS23055		4706996	1128	AFG1 family ATPase	734	KP1_RS23055.fasta
KP1_RS23060		4708314	399	hypothetical protein	137	KP1_RS23060.fasta
KP1_RS23065		4708886	1368	serine endoprotease DegQ	858	KP1_RS23065.fasta
KP1_RS23070		4710341	1059	outer membrane-stress sensor serine endopeptidase DegS	769	KP1_RS23070.fasta
KP1_RS23120		4720133	939	malate dehydrogenase	466	KP1_RS23120.fasta
KP1_RS23125		4721486	471	arginine repressor	239	KP1_RS23125.fasta
KP1_RS23130		4722332	264	membrane protein	134	KP1_RS23130.fasta
KP1_RS23135		4722694	267	membrane protein	176	KP1_RS23135.fasta
KP1_RS23150		4725339	933	hydroxybenzoic acid transporter	480	KP1_RS23150.fasta
KP1_RS23155		4726279	204	protein AaeX	94	KP1_RS23155.fasta
KP1_RS23160		4726614	930	transcriptional regulator	554	KP1_RS23160.fasta
KP1_RS23170		4729113	3798	DUF3971 domain-containing protein	1834	KP1_RS23170.fasta
KP1_RS23175		4732948	1470	ribonuclease G	637	KP1_RS23175.fasta
KP1_RS23180		4734420	582	septum formation protein Maf	315	KP1_RS23180.fasta
KP1_RS23185		4735009	489	rod shape-determining protein MreD	186	KP1_RS23185.fasta
KP1_RS23190		4735497	993	rod shape-determining protein MreC	425	KP1_RS23190.fasta
KP1_RS23195		4736560	1044	rod shape-determining protein	304	KP1_RS23195.fasta
KP1_RS23200		4737909	1941	RNase E specificity factor CsrD	1046	KP1_RS23200.fasta
KP1_RS23205		4739929	192	hypothetical protein	118	KP1_RS23205.fasta
KP1_RS23215		4741350	609	sulfoxide reductase heme-binding subunit YedZ	454	KP1_RS23215.fasta
KP1_RS23220		4742182	453	3-dehydroquinate dehydratase	253	KP1_RS23220.fasta
KP1_RS23225		4742657	468	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	146	KP1_RS23225.fasta
KP1_RS23230		4743135	1350	acetyl-CoA carboxylase biotin carboxylase subunit	783	KP1_RS23230.fasta
KP1_RS23250		4747529	966	tRNA dihydrouridine synthase DusB	386	KP1_RS23250.fasta
KP1_RS23255	fis	4748519	297	Fis family transcriptional regulator	112	KP1_RS23255.fasta
KP1_RS23265		4749932	1140	MexX family efflux pump subunit	818	KP1_RS23265.fasta
KP1_RS23305		4760688	555	gamma carbonic anhydrase family protein	320	KP1_RS23305.fasta
KP1_RS23320		4762294	573	L-threonylcarbamoyladenylate synthase type 1 TsaC	299	KP1_RS23320.fasta
KP1_RS23325		4762871	543	hypothetical protein	298	KP1_RS23325.fasta
KP1_RS23335		4763885	1125	DNA-processing protein DprA	766	KP1_RS23335.fasta
KP1_RS23340		4765138	510	peptide deformylase	249	KP1_RS23340.fasta
KP1_RS23350		4766662	1296	16S rRNA m5C967 methyltransferase	827	KP1_RS23350.fasta
KP1_RS23355		4767971	1377	Trk system potassium transport protein TrkA	664	KP1_RS23355.fasta
KP1_RS23360		4769488	414	large-conductance mechanosensitive channel	197	KP1_RS23360.fasta
KP1_RS23375		4771078	387	50S ribosomal protein L17	163	KP1_RS23375.fasta
KP1_RS23380		4771505	990	DNA-directed RNA polymerase subunit alpha	328	KP1_RS23380.fasta
KP1_RS23385		4772520	621	30S ribosomal protein S4	188	KP1_RS23385.fasta
KP1_RS23390		4773174	390	30S ribosomal protein S11	142	KP1_RS23390.fasta
KP1_RS23395		4773580	357	30S ribosomal protein S13	77	KP1_RS23395.fasta
KP1_RS23400		4774233	1332	preprotein translocase subunit SecY	536	KP1_RS23400.fasta
KP1_RS23405		4775572	435	50S ribosomal protein L15	226	KP1_RS23405.fasta
KP1_RS23410		4776010	180	50S ribosomal protein L30	58	KP1_RS23410.fasta
KP1_RS23415		4776193	504	30S ribosomal protein S5	178	KP1_RS23415.fasta
KP1_RS23420		4776711	354	50S ribosomal protein L18	107	KP1_RS23420.fasta
KP1_RS23425		4777074	534	50S ribosomal protein L6	192	KP1_RS23425.fasta
KP1_RS23430		4777620	393	30S ribosomal protein S8	128	KP1_RS23430.fasta
KP1_RS23435	rpsN	4778046	306	30S ribosomal protein S14	78	KP1_RS23435.fasta
KP1_RS23440		4778366	540	50S ribosomal protein L5	159	KP1_RS23440.fasta
KP1_RS23445		4778920	315	50S ribosomal protein L24	145	KP1_RS23445.fasta
KP1_RS23450		4779245	372	50S ribosomal protein L14	73	KP1_RS23450.fasta
KP1_RS23455		4779782	255	30S ribosomal protein S17	90	KP1_RS23455.fasta
KP1_RS23460		4780036	192	50S ribosomal protein L29	65	KP1_RS23460.fasta
KP1_RS23465		4780227	411	50S ribosomal protein L16	93	KP1_RS23465.fasta
KP1_RS23470		4780650	699	30S ribosomal protein S3	238	KP1_RS23470.fasta
KP1_RS23475		4781366	333	50S ribosomal protein L22	92	KP1_RS23475.fasta
KP1_RS23480		4781713	279	30S ribosomal protein S19	56	KP1_RS23480.fasta
KP1_RS23485		4782008	822	50S ribosomal protein L2	279	KP1_RS23485.fasta
KP1_RS23490		4782847	303	50S ribosomal protein L23	103	KP1_RS23490.fasta
KP1_RS23495		4783146	606	50S ribosomal protein L4	211	KP1_RS23495.fasta
KP1_RS23500		4783762	630	50S ribosomal protein L3	232	KP1_RS23500.fasta
KP1_RS23505		4784424	312	30S ribosomal protein S10	99	KP1_RS23505.fasta
KP1_RS23520		4786138	195	bacterioferritin-associated ferredoxin	97	KP1_RS23520.fasta
KP1_RS23530		4787767	2115	translation elongation factor G	779	KP1_RS23530.fasta
KP1_RS23535		4789978	471	30S ribosomal protein S7	117	KP1_RS23535.fasta
KP1_RS23545		4791044	288	sulfurtransferase TusB	165	KP1_RS23545.fasta
KP1_RS23560		4792084	723	hypothetical protein	280	KP1_RS23560.fasta
KP1_RS23565		4792975	831	peptidyl-prolyl cis-trans isomerase	483	KP1_RS23565.fasta
KP1_RS23570		4794028	219	protein SlyX	131	KP1_RS23570.fasta
KP1_RS23575		4794305	588	peptidyl-prolyl cis-trans isomerase	303	KP1_RS23575.fasta
KP1_RS23580		4794986	201	hypothetical protein	111	KP1_RS23580.fasta
KP1_RS23585		4795198	1806	glutathione-regulated potassium-efflux system protein KefB	1079	KP1_RS23585.fasta
KP1_RS23595		4797727	1905	ABC transporter ATP-binding protein	1224	KP1_RS23595.fasta
